op_memory sequence_length batch_size num_layers num_units num_steps
875006976 50 64 4 1000 50
2665902592 50 64 4 2000 50
37315584 50 128 1 100 50
78124032 50 128 1 200 50
204130560 50 128 1 500 50
507462656 50 128 1 1000 50
1329320704 50 128 1 2000 50
53850368 50 128 2 100 50
110585088 50 128 2 200 50
299045376 50 128 2 500 50
793007360 50 128 2 1000 50
2091702528 50 128 2 2000 50
72310016 50 128 3 100 50
150598144 50 128 3 200 50
404088576 50 128 3 500 50
1048527872 50 128 3 1000 50
2795190528 50 128 3 2000 50
89330176 50 128 4 100 50
198173952 50 128 4 200 50
572226304 50 128 4 500 50
1272402176 50 128 4 1000 50
3499071744 50 128 4 2000 50
10540032 100 16 1 100 50
23517184 100 16 1 200 50
81797632 100 16 1 500 50
246778112 100 16 1 1000 50
817266688 100 16 1 2000 50
16896768 100 16 2 100 50
37792000 100 16 2 200 50
141610496 100 16 2 500 50
386746112 100 16 2 1000 50
1321843456 100 16 2 2000 50
22240768 100 16 3 100 50
55302400 100 16 3 200 50
173146368 100 16 3 500 50
529518080 100 16 3 1000 50
1826105600 100 16 3 2000 50
25943040 100 16 4 100 50
65272832 100 16 4 200 50
213290496 100 16 4 500 50
662977280 100 16 4 1000 50
2401767424 100 16 4 2000 50
19789568 100 32 1 100 50
39756800 100 32 1 200 50
126308864 100 32 1 500 50
325161216 100 32 1 1000 50
957561856 100 32 1 2000 50
27248640 100 32 2 100 50
65602816 100 32 2 200 50
203828992 100 32 2 500 50
562102272 100 32 2 1000 50
1513209856 100 32 2 2000 50
35670784 100 32 3 100 50
86316032 100 32 3 200 50
261069824 100 32 3 500 50
690614272 100 32 3 1000 50
2082734592 100 32 3 2000 50
48086784 100 32 4 100 50
103474432 100 32 4 200 50
338564352 100 32 4 500 50
834530816 100 32 4 1000 50
2647982592 100 32 4 2000 50
38211584 100 64 1 100 50
79916032 100 64 1 200 50
190826496 100 64 1 500 50
443859200 100 64 1 1000 50
1296539136 100 64 1 2000 50
54790656 100 64 2 100 50
112127232 100 64 2 200 50
289857024 100 64 2 500 50
811366656 100 64 2 1000 50
2086568960 100 64 2 2000 50
72489216 100 64 3 100 50
148304896 100 64 3 200 50
457233152 100 64 3 500 50
970342656 100 64 3 1000 50
2758312960 100 64 3 2000 50
89189376 100 64 4 100 50
195025152 100 64 4 200 50
580107008 100 64 4 500 50
1324707072 100 64 4 1000 50
3345128960 100 64 4 2000 50
77675520 100 128 1 100 50
158792704 100 128 1 200 50
344234752 100 128 1 500 50
763488256 100 128 1 1000 50
1876663040 100 128 1 2000 50
109570304 100 128 2 100 50
218034944 100 128 2 200 50
554629632 100 128 2 500 50
1159401472 100 128 2 1000 50
2954500864 100 128 2 2000 50
145852928 100 128 3 100 50
298106880 100 128 3 200 50
742972160 100 128 3 500 50
1588655360 100 128 3 1000 50
3880196864 100 128 3 2000 50
178071040 100 128 4 100 50
354689280 100 128 4 200 50
897596160 100 128 4 500 50
1963627776 100 128 4 1000 50
5008169728 100 128 4 2000 50
