op_time sequence_length batch_size num_layers num_units num_parallel_launches num_steps
0.006323258876800537 10 16 1 100 2 100
0.006246273517608643 10 16 1 100 2 100
0.005816612243652344 10 16 1 100 2 100
0.0052030253410339355 10 16 1 100 2 100
0.0046657204627990724 10 16 1 100 2 100
0.004600660800933838 10 16 1 100 2 100
0.00495743989944458 10 16 1 100 2 100
0.004965448379516601 10 16 1 100 2 100
0.00472754955291748 10 16 1 100 2 100
0.004723219871520996 10 16 1 100 2 100
0.006006567478179931 10 16 1 200 2 100
0.006396973133087158 10 16 1 200 2 100
0.006670019626617432 10 16 1 200 2 100
0.006614112854003906 10 16 1 200 2 100
0.006489372253417969 10 16 1 200 2 100
0.006654996871948243 10 16 1 200 2 100
0.006334395408630371 10 16 1 200 2 100
0.006387567520141602 10 16 1 200 2 100
0.0067949676513671875 10 16 1 200 2 100
0.006293582916259766 10 16 1 200 2 100
0.010222804546356202 10 16 1 500 2 100
0.010038981437683106 10 16 1 500 2 100
0.009620237350463866 10 16 1 500 2 100
0.009276697635650635 10 16 1 500 2 100
0.010067121982574463 10 16 1 500 2 100
0.009207632541656494 10 16 1 500 2 100
0.010271198749542236 10 16 1 500 2 100
0.010238013267517089 10 16 1 500 2 100
0.010107791423797608 10 16 1 500 2 100
0.009570226669311524 10 16 1 500 2 100
0.013153910636901855 10 16 1 1000 2 100
0.014338157176971435 10 16 1 1000 2 100
0.01440406084060669 10 16 1 1000 2 100
0.014685456752777099 10 16 1 1000 2 100
0.015723974704742433 10 16 1 1000 2 100
0.016305422782897948 10 16 1 1000 2 100
0.015191290378570557 10 16 1 1000 2 100
0.014611380100250244 10 16 1 1000 2 100
0.015616912841796875 10 16 1 1000 2 100
0.01559356451034546 10 16 1 1000 2 100
0.03900158405303955 10 16 1 2000 2 100
0.039413981437683106 10 16 1 2000 2 100
0.04025967121124267 10 16 1 2000 2 100
0.040175671577453616 10 16 1 2000 2 100
0.038387875556945804 10 16 1 2000 2 100
0.03825183391571045 10 16 1 2000 2 100
0.03997685194015503 10 16 1 2000 2 100
0.039975666999816896 10 16 1 2000 2 100
0.03920472621917725 10 16 1 2000 2 100
0.03921069383621216 10 16 1 2000 2 100
0.00931293249130249 10 16 2 100 2 100
0.009146349430084228 10 16 2 100 2 100
0.007873091697692871 10 16 2 100 2 100
0.008036868572235107 10 16 2 100 2 100
0.008049962520599365 10 16 2 100 2 100
0.007903058528900147 10 16 2 100 2 100
0.008845477104187012 10 16 2 100 2 100
0.008779540061950683 10 16 2 100 2 100
0.00824686050415039 10 16 2 100 2 100
0.008348743915557861 10 16 2 100 2 100
0.011190450191497803 10 16 2 200 2 100
0.011244416236877441 10 16 2 200 2 100
0.010319907665252686 10 16 2 200 2 100
0.010345993041992187 10 16 2 200 2 100
0.010750532150268555 10 16 2 200 2 100
0.010698928833007812 10 16 2 200 2 100
0.00940838098526001 10 16 2 200 2 100
0.00894676685333252 10 16 2 200 2 100
0.009457647800445557 10 16 2 200 2 100
0.010418598651885986 10 16 2 200 2 100
0.014657199382781982 10 16 2 500 2 100
0.014204983711242675 10 16 2 500 2 100
0.014513711929321289 10 16 2 500 2 100
0.014070143699645996 10 16 2 500 2 100
0.01500885009765625 10 16 2 500 2 100
0.014732630252838134 10 16 2 500 2 100
0.014859657287597656 10 16 2 500 2 100
0.014842708110809327 10 16 2 500 2 100
0.014695065021514893 10 16 2 500 2 100
0.014257426261901856 10 16 2 500 2 100
0.027627453804016114 10 16 2 1000 2 100
0.027487382888793946 10 16 2 1000 2 100
0.022967820167541505 10 16 2 1000 2 100
0.02485628366470337 10 16 2 1000 2 100
0.024825775623321535 10 16 2 1000 2 100
0.023274877071380616 10 16 2 1000 2 100
0.026426918506622314 10 16 2 1000 2 100
0.02517700433731079 10 16 2 1000 2 100
0.027288165092468262 10 16 2 1000 2 100
0.027513115406036376 10 16 2 1000 2 100
0.07347827434539794 10 16 2 2000 2 100
0.07320693969726562 10 16 2 2000 2 100
0.07258225679397583 10 16 2 2000 2 100
0.07274217367172241 10 16 2 2000 2 100
0.07276364088058472 10 16 2 2000 2 100
0.07320735216140747 10 16 2 2000 2 100
0.07222630023956299 10 16 2 2000 2 100
0.07219909906387328 10 16 2 2000 2 100
0.07168076276779174 10 16 2 2000 2 100
0.07067606925964355 10 16 2 2000 2 100
0.010721075534820556 10 16 3 100 2 100
0.010739519596099853 10 16 3 100 2 100
0.01045964002609253 10 16 3 100 2 100
0.010263156890869141 10 16 3 100 2 100
0.01111769437789917 10 16 3 100 2 100
0.011197738647460938 10 16 3 100 2 100
0.011301884651184082 10 16 3 100 2 100
0.011305003166198731 10 16 3 100 2 100
0.010571184158325196 10 16 3 100 2 100
0.010597965717315673 10 16 3 100 2 100
0.013032875061035155 10 16 3 200 2 100
0.012946357727050781 10 16 3 200 2 100
0.012622830867767333 10 16 3 200 2 100
0.013025805950164795 10 16 3 200 2 100
0.012910118103027344 10 16 3 200 2 100
0.012782433032989503 10 16 3 200 2 100
0.012203044891357422 10 16 3 200 2 100
0.014011464118957519 10 16 3 200 2 100
0.012888705730438233 10 16 3 200 2 100
0.01293872594833374 10 16 3 200 2 100
0.020624115467071533 10 16 3 500 2 100
0.02026271104812622 10 16 3 500 2 100
0.02016646146774292 10 16 3 500 2 100
0.019692184925079344 10 16 3 500 2 100
0.019429004192352294 10 16 3 500 2 100
0.020093581676483153 10 16 3 500 2 100
0.020363023281097414 10 16 3 500 2 100
0.02122865676879883 10 16 3 500 2 100
0.020431370735168458 10 16 3 500 2 100
