op_memory sequence_length batch_size num_layers num_units num_steps
875715072 50 64 4 1000 50
2666926592 50 64 4 2000 50
37417984 50 128 1 100 50
78328832 50 128 1 200 50
205154560 50 128 1 500 50
507462656 50 128 1 1000 50
1331368704 50 128 1 2000 50
53952768 50 128 2 100 50
110789888 50 128 2 200 50
293339648 50 128 2 500 50
788648960 50 128 2 1000 50
2091702528 50 128 2 2000 50
72412416 50 128 3 100 50
150833152 50 128 3 200 50
404600576 50 128 3 500 50
1048527872 50 128 3 1000 50
2797238528 50 128 3 2000 50
89534976 50 128 4 100 50
198378752 50 128 4 200 50
573762304 50 128 4 500 50
1273426176 50 128 4 1000 50
3503167744 50 128 4 2000 50
10540032 100 16 1 100 50
23542784 100 16 1 200 50
81861632 100 16 1 500 50
246906112 100 16 1 1000 50
817522688 100 16 1 2000 50
16909568 100 16 2 100 50
37817600 100 16 2 200 50
141610496 100 16 2 500 50
387002112 100 16 2 1000 50
1321850624 100 16 2 2000 50
22266368 100 16 3 100 50
55379200 100 16 3 200 50
173210368 100 16 3 500 50
529518080 100 16 3 1000 50
1826617600 100 16 3 2000 50
25981440 100 16 4 100 50
65272832 100 16 4 200 50
213354496 100 16 4 500 50
663105280 100 16 4 1000 50
2402023424 100 16 4 2000 50
19815168 100 32 1 100 50
39808000 100 32 1 200 50
126308864 100 32 1 500 50
325417216 100 32 1 1000 50
958073856 100 32 1 2000 50
27248640 100 32 2 100 50
65654016 100 32 2 200 50
204084992 100 32 2 500 50
562243072 100 32 2 1000 50
1514233856 100 32 2 2000 50
35645184 100 32 3 100 50
86367232 100 32 3 200 50
261069824 100 32 3 500 50
690755072 100 32 3 1000 50
2083246592 100 32 3 2000 50
48112384 100 32 4 100 50
103576832 100 32 4 200 50
338820352 100 32 4 500 50
834927616 100 32 4 1000 50
2648494592 100 32 4 2000 50
38262784 100 64 1 100 50
80018432 100 64 1 200 50
190826496 100 64 1 500 50
552988928 100 64 1 1000 50
1297563136 100 64 1 2000 50
54841856 100 64 2 100 50
112229632 100 64 2 200 50
290113024 100 64 2 500 50
812390656 100 64 2 1000 50
2086568960 100 64 2 2000 50
72438016 100 64 3 100 50
148304896 100 64 3 200 50
394823424 100 64 3 500 50
970854656 100 64 3 1000 50
2759336960 100 64 3 2000 50
89240576 100 64 4 100 50
195127552 100 64 4 200 50
567588608 100 64 4 500 50
1325731072 100 64 4 1000 50
3331547136 100 64 4 2000 50
77777920 100 128 1 100 50
158997504 100 128 1 200 50
344746752 100 128 1 500 50
763488256 100 128 1 1000 50
1878711040 100 128 1 2000 50
109672704 100 128 2 100 50
218239744 100 128 2 200 50
555141632 100 128 2 500 50
1160425472 100 128 2 1000 50
2956548864 100 128 2 2000 50
145852928 100 128 3 100 50
298106880 100 128 3 200 50
743279360 100 128 3 500 50
1579234560 100 128 3 1000 50
3882244864 100 128 3 2000 50
178071040 100 128 4 100 50
354484480 100 128 4 200 50
897903360 100 128 4 500 50
1964651776 100 128 4 1000 50
4895374080 100 128 4 2000 50
