op_memory sequence_length batch_size num_layers num_units num_steps
933954304 50 64 4 1000 50
2796860160 50 64 4 2000 50
39706624 50 128 1 100 50
83577088 50 128 1 200 50
212093440 50 128 1 500 50
492446720 50 128 1 1000 50
1321830144 50 128 1 2000 50
61437184 50 128 2 100 50
125313280 50 128 2 200 50
337287168 50 128 2 500 50
809077504 50 128 2 1000 50
2163252224 50 128 2 2000 50
82639616 50 128 3 100 50
171370752 50 128 3 200 50
473287168 50 128 3 500 50
1141122816 50 128 3 1000 50
2959028480 50 128 3 2000 50
103119616 50 128 4 100 50
217450752 50 128 4 200 50
600922624 50 128 4 500 50
1422748416 50 128 4 1000 50
3733300736 50 128 4 2000 50
10978560 100 16 1 100 50
25188096 100 16 1 200 50
85359104 100 16 1 500 50
269740032 100 16 1 1000 50
821695488 100 16 1 2000 50
16794368 100 16 2 100 50
39418880 100 16 2 200 50
136592128 100 16 2 500 50
404268032 100 16 2 1000 50
1332582400 100 16 2 2000 50
22567168 100 16 3 100 50
53512448 100 16 3 200 50
187734016 100 16 3 500 50
551468032 100 16 3 1000 50
1832315392 100 16 3 2000 50
28967168 100 16 4 100 50
67880448 100 16 4 200 50
235767040 100 16 4 500 50
704831488 100 16 4 1000 50
2318910976 100 16 4 2000 50
20122368 100 32 1 100 50
43488512 100 32 1 200 50
135511040 100 32 1 500 50
328734720 100 32 1 1000 50
1078662400 100 32 1 2000 50
30852608 100 32 2 100 50
69376512 100 32 2 200 50
207511040 100 32 2 500 50
539570176 100 32 2 1000 50
1592510976 100 32 2 2000 50
42019584 100 32 3 100 50
92430080 100 32 3 200 50
290592768 100 32 3 500 50
737970176 100 32 3 1000 50
2181254400 100 32 3 2000 50
53539584 100 32 4 100 50
115483648 100 32 4 200 50
360992768 100 32 4 500 50
929970176 100 32 4 1000 50
2792998400 100 32 4 2000 50
39245824 100 64 1 100 50
82802688 100 64 1 200 50
208637440 100 64 1 500 50
485525248 100 64 1 1000 50
1313977600 100 64 1 2000 50
60717056 100 64 2 100 50
124334080 100 64 2 200 50
335111168 100 64 2 500 50
804136704 100 64 2 1000 50
2156244224 100 64 2 2000 50
82204416 100 64 3 100 50
170391552 100 64 3 200 50
471111168 100 64 3 500 50
1136463616 100 64 3 1000 50
2950919424 100 64 3 2000 50
102684416 100 64 4 100 50
216471552 100 64 4 200 50
598746624 100 64 4 500 50
1418063616 100 64 4 1000 50
3721524736 100 64 4 2000 50
80066560 100 128 1 100 50
164444160 100 128 1 200 50
384659968 100 128 1 500 50
837621504 100 128 1 1000 50
1942425344 100 128 1 2000 50
122225920 100 128 2 100 50
243666944 100 128 2 200 50
618471424 100 128 2 500 50
1338396416 100 128 2 1000 50
3214951424 100 128 2 2000 50
161363968 100 128 3 100 50
331233280 100 128 3 200 50
857127424 100 128 3 500 50
1883574016 100 128 3 1000 50
4543363328 100 128 3 2000 50
203283968 100 128 4 100 50
413153280 100 128 4 200 50
1086798336 100 128 4 500 50
2394115840 100 128 4 1000 50
5669891584 100 128 4 2000 50
