op_memory sequence_length batch_size num_layers num_units num_steps
1187623424 50 64 4 1000 50
3537106176 50 64 4 2000 50
37417984 50 128 1 100 50
78328832 50 128 1 200 50
205154560 50 128 1 500 50
507462656 50 128 1 1000 50
1331368704 50 128 1 2000 50
59987200 50 128 2 100 50
131722752 50 128 2 200 50
456842496 50 128 2 500 50
799326976 50 128 2 1000 50
2357868800 50 128 2 2000 50
98416640 50 128 3 100 50
200818432 50 128 3 200 50
526337024 50 128 3 500 50
1254260736 50 128 3 1000 50
3405534464 50 128 3 2000 50
99494400 50 128 4 100 50
216307712 50 128 4 200 50
571341568 50 128 4 500 50
1591650560 50 128 4 1000 50
4292780288 50 128 4 2000 50
10540032 100 16 1 100 50
23542784 100 16 1 200 50
81861632 100 16 1 500 50
246906112 100 16 1 1000 50
817522688 100 16 1 2000 50
16940544 100 16 2 100 50
39173632 100 16 2 200 50
158513152 100 16 2 500 50
515163648 100 16 2 1000 50
1574385408 100 16 2 2000 50
27275776 100 16 3 100 50
65298432 100 16 3 200 50
287770880 100 16 3 500 50
773321984 100 16 3 1000 50
2294992896 100 16 3 2000 50
32493056 100 16 4 100 50
70685184 100 16 4 200 50
297779712 100 16 4 500 50
985712896 100 16 4 1000 50
3072434176 100 16 4 2000 50
19815168 100 32 1 100 50
39808000 100 32 1 200 50
126308864 100 32 1 500 50
325417216 100 32 1 1000 50
958073856 100 32 1 2000 50
31666688 100 32 2 100 50
68526080 100 32 2 200 50
282681856 100 32 2 500 50
611587072 100 32 2 1000 50
1808151040 100 32 2 2000 50
49257472 100 32 3 100 50
108320512 100 32 3 200 50
312282624 100 32 3 500 50
1018437120 100 32 3 1000 50
2584988672 100 32 3 2000 50
52155904 100 32 4 100 50
119667712 100 32 4 200 50
530311680 100 32 4 500 50
1169605120 100 32 4 1000 50
3472594176 100 32 4 2000 50
38262784 100 64 1 100 50
80018432 100 64 1 200 50
190826496 100 64 1 500 50
444371200 100 64 1 1000 50
1297563136 100 64 1 2000 50
57307904 100 64 2 100 50
119728128 100 64 2 200 50
443225344 100 64 2 500 50
789062656 100 64 2 1000 50
2281576704 100 64 2 2000 50
92984832 100 64 3 100 50
198283264 100 64 3 200 50
523188224 100 64 3 500 50
1217468160 100 64 3 1000 50
3274581248 100 64 3 2000 50
99338752 100 64 4 100 50
207119360 100 64 4 200 50
550253568 100 64 4 500 50
1443634432 100 64 4 1000 50
4277795072 100 64 4 2000 50
77777920 100 128 1 100 50
158997504 100 128 1 200 50
344746752 100 128 1 500 50
763488256 100 128 1 1000 50
1878711040 100 128 1 2000 50
114538752 100 128 2 100 50
230831616 100 128 2 200 50
575597056 100 128 2 500 50
1213459200 100 128 2 1000 50
3154116864 100 128 2 2000 50
181816832 100 128 3 100 50
373736192 100 128 3 200 50
855764992 100 128 3 500 50
1859299328 100 128 3 1000 50
4461120256 100 128 3 2000 50
185966080 100 128 4 100 50
397717504 100 128 4 200 50
932033280 100 128 4 500 50
2198876416 100 128 4 1000 50
5774158080 100 128 4 2000 50
